Current_Word,Next_Word,Levenshtein_distance
accessing,net,8
net,service,6
broadband,personal,8
surpassed,dialup,8
dialup,connections,11
time,"come

Shelley",11
according,PC,9
Office,National,7
National,"Statistics
",8
"Statistics
",Sony,10
Sony,Philips,7
PSP,console,7
console,developers,8
hits,US,4
US,Adding,6
"March

US",gamers,8
gamers,early,5
able,start,5
buy,"yourself

A",10
Sony's,European,7
PlayStation,3,11
Portable,players,8
24,March,5
March,news,5
news,editor,6
Europe,little,5
"debut

The",handheld,10
handheld,device,7
console,developers,8
sale,22,4
$250,£132,4
£132,million,7
million,Visual,6
sold,come,3
come,If,4
SpiderMan,2,9
2,codename,8
UMD,disc,4
disc,10,4
format,people,6
machine,seen,6
Sony,Philips,7
billed,machine,7
machine,seen,6
Walkman,21st,7
21st,Century,6
Century,sold,7
sold,come,3
800000,units,6
units,Japan,5
Japan,US,5
The,Macworld,8
console,developers,8
12cm,74cm,2
74cm,play,4
play,individual,9
games,Even,4
movies,images,4
music,movies,4
offers,1080,6
support,wireless,8
wireless,technology,9
gaming,internet,7
Sony,Philips,7
entering,market,7
market,Mac,5
dominated,Nintendo,6
Nintendo,expected,7
"years

It",launched,8
launched,Macworld,6
DS,handheld,8
handheld,device,7
Japan,US,5
US,Adding,6
year,Chris,5
sold,come,3
28,million,7
million,Visual,6
units,Japan,5
Sony,Philips,7
said,Jonny,5
wanted,let,5
launch,mobile,6
PSP,console,7
Europe,little,5
roughly,time,7
time,"come

Shelley",11
US,Adding,6
gamers,early,5
fear,launch,6
launch,mobile,6
Nintendo,expected,7
said,Jonny,5
release,tiny,7
DS,handheld,8
Europe,little,5
11,March,5
March,news,5
It,sale,4
gaming,internet,7
core,gamers,5
it's,good,4
gaming,internet,7
device,interfaces,7
It's,deeply,6
entertainment,experience,8
device,interfaces,7
said,Jonny,5
Kaz,Hirai,4
Hirai,president,8
president,business,6
Sony,Philips,7
Computer,Crime,6
Entertainment,"America
",10
"America
",Ask,7
Ask,Jeeves,6
Jeeves,joins,5
joins,web,5
web,email,5
log,"market

Ask",11
"market

Ask",Jeeves,9
Jeeves,joins,5
bought,iPod,6
Bloglines,website,7
website,It,6
improve,cash,7
way,help,4
handles,content,6
content,control,3
web,email,5
journals,"blogs

The",9
"blogs

The",Bloglines,7
Bloglines,website,7
site,completely,8
hugely,successful,8
popular,Apple,5
gives,cash,5
users,big,5
place,home,4
read,specifications,12
search,share,3
share,desktop,6
blogs,interested,9
interested,style,8
Ask,Jeeves,6
Jeeves,joins,5
said,Jonny,5
planning,HDTV,8
change,"quickly

Nick",12
Bloglines,website,7
use,help,4
300,million,7
million,Visual,6
articles,archived,5
archived,round,6
round,games,5
index,web,4
web,email,5
How,greener,7
Ask,Jeeves,6
Jeeves,joins,5
paid,Bloglines,8
Bloglines,website,7
"revealed

Bloglines",popular,18
popular,Apple,5
lets,play,4
users,big,5
build,things,5
list,200,4
blogs,interested,9
want,upgrade,6
follow,"Monday

Reviews",13
having,sign,5
visit,journal,7
journal,site,7
site,completely,8
individually,To,12
To,makes,5
makes,difference,9
use,help,4
technology,balked,9
known,Digital,7
Really,Simple,5
Simple,Syndication,9
Syndication,RSS,11
RSS,blogs,5
blogs,interested,9
adopted,broadcasters,8
let,consumers,8
sites,Wireless,5
know,viruses,7
new,products,8
entries,journals,6
journals,"blogs

The",9
The,Macworld,8
acquisition,follows,11
follows,skip,7
similar,intentions,9
moves,search,6
search,share,3
sites,Wireless,5
Google,acquired,7
acquired,Pyra,7
Pyra,Labs,4
Labs,makers,4
makers,release,5
Blogger,software,7
software,suite,5
2003,But,4
In,total,5
2004,Englishlanguage,15
MSN,introduced,10
introduced,pilot,9
blog,system,6
system,software,6
Yahoo,tweaked,6
tweaked,technology,9
technology,balked,9
better,network,4
job,handling,8
handling,highresolution,11
blog,system,6
entries,journals,6
Jim,Lanzone,7
Lanzone,vice,6
vice,president,7
president,business,6
search,share,3
properties,Ask,10
Ask,Jeeves,6
Jeeves,joins,5
US,Adding,6
said,Jonny,5
acquire,Bloglines,7
Bloglines,website,7
foothold,blog,7
blog,system,6
publishing,world,9
world,Although,7
He,said,4
said,Jonny,5
Ask,Jeeves,6
Jeeves,joins,5
interested,style,8
helping,people,5
people,expect,5
find,role,4
information,millions,9
looking,add,7
helping,people,5
write,"it

The",6
"it

The",universe,7
universe,readers,5
readers,vastly,6
vastly,larger,5
larger,hard,4
universe,readers,5
writers,widespread,7
said,Jonny,5
Mr,Evans,5
Lanzone,vice,6
said,Jonny,5
acquisition,follows,11
sit,alongside,7
Ask's,My,5
My,Jeeves,6
Jeeves,joins,5
service,firm,6
lets,play,4
people,expect,5
customise,web,9
web,email,5
experience,allowing,8
build,things,5
personal,technology,8
collection,saying,9
useful,I,6
links,Part,5
Search,engines,7
engines,making,5
discovering,information,9
information,millions,9
time,"come

Shelley",11
RSS,blogs,5
ideal,target,6
way,help,4
track,Elvis,5
monitor,They'd,7
sites,Wireless,5
said,Jonny,5
It,sale,4
help,Apple,4
drive,memory,6
information,millions,9
entries,journals,6
blogs,interested,9
portals,The,7
Ask,Jeeves,6
Jeeves,joins,5
operates,There,5
There,builtin,7
instant,sweeping,7
sweeping,changes,8
changes,world,7
Bloglines,website,7
said,Jonny,5
Mr,Evans,5
Lanzone,vice,6
Our,mission,7
intent,time,5
time,"come

Shelley",11
figure,46,6
right,connectors,9
business,development,10
model,pricey,5
try,redesign,8
monetise,right,7
right,connectors,9
away,highdetail,9
said,Jonny,5
Though,Mr,6
Mr,Evans,5
Lanzone,vice,6
added,extra,5
Ask,Jeeves,6
Jeeves,joins,5
helping,people,5
organise,database,5
database,bring,8
300m,blog,4
blog,system,6
entries,journals,6
Bloglines,website,7
holds,net,5
net,service,6
indexing,technology,9
technology,balked,9
Being,able,5
able,start,5
search,share,3
blogosphere,corpus,9
corpus,information,9
information,millions,9
useful,I,6
right,connectors,9
said,Jonny,5
Mr,Evans,5
Lanzone,vice,6
Rumours,acquisition,10
acquisition,follows,11
broken,Napsterization,12
Napsterization,weblog,12
weblog,said,6
said,Jonny,5
got,seamless,8
hint,Ask,4
Ask,Jeeves,6
Jeeves,joins,5
"insiders
",Why,9
Why,Cell,4
Cell,,4
hard,drive,5
"sell

The",world,8
world,Although,7
casting,gaze,6
gaze,Cell,4
Cell,,4
processor,512MB,9
time,"come

Shelley",11
important,software,7
"different?

The",backers,13
backers,processor,7
processor,512MB,9
big,"success

He",11
names,computer,6
computer,market,6
industry,experts,7
IBM,technology,10
largest,respected,7
respected,chipmakers,8
chipmakers,world,10
world,Although,7
providing,tools,8
cutting,edge,7
edge,technology,8
technology,balked,9
large,digital,7
businesses,people,9
Sony,Philips,7
chip,80,4
inside,PlayStation,10
PlayStation,3,11
3,Xbox,4
console,developers,8
dominance,games,8
games,Even,4
market,Mac,5
means,fewer,4
lot,fixing,6
power,tasks,5
dictate,future,5
future,exciting,7
computer,market,6
gaming,internet,7
platforms,The,9
The,Macworld,8
technology,balked,9
inside,PlayStation,10
Cell,,4
heralded,revolutionary,11
revolutionary,evolution,4
technical,skills,8
standpoint,Traditional,8
Traditional,computers,10
computers,famously,7
,majority,8
household,PCs,8
PCs,Also,3
PlayStation,3,11
2s,,2
,majority,8
use,help,4
single,songs,3
processor,512MB,9
carry,calculations,10
calculations,run,10
run,It's,4
computer,market,6
The,Macworld,8
Cell,,4
technology,balked,9
hand,corner,5
uses,net,3
multiple,Cell,6
Cell,,4
processors,linked,9
linked,run,5
run,It's,4
lots,calculations,9
calculations,run,10
"simultaneously

This",gives,17
gives,cash,5
processing,graphical,9
power,tasks,5
order,magnitude,8
magnitude,competitors,8
competitors,Whilst,10
Whilst,rivals,5
rivals,working,7
working,Apple,7
similar,intentions,9
technology,balked,9
Sony's,European,7
advanced,The,7
The,Macworld,8
speed,palm,4
computer,market,6
memory,networking,7
slowly,increasing,10
increasing,convergence,9
years,market,5
memory,networking,7
technology,balked,9
accompanies,Cell,11
Cell,,4
huge,numbers,5
leap,exploring,8
"performance

Using",technology,16
technology,balked,9
called,Underground,10
XDR,created,7
created,American,7
American,UK,8
firm,The,4
Rambus,memory,5
memory,networking,7
run,It's,4
times,The,4
faster,said,5
current,fragmentation,10
standard,video,7
promoted,Intel,6
Intel,Celeron,6
Perhaps,important,7
important,software,7
technology,balked,9
Cell's,role,5
role,homes,3
imminent,war,8
war,living,6
living,rooms,6
rooms,cinemas,5
The,Macworld,8
big,"success

He",11
trend,"said
",5
predicted,year,8
year,Chris,5
convergence,film,11
computers,famously,7
home,"computer

It's",11
entertainment,experience,8
devices,"reaction

His",10
DVD,burner,6
players,speaking,6
hifis,Companies,7
Companies,like,8
like,Apple,4
Microsoft,Confusingly,10
Sony,Philips,7
believe,hold,6
lot,fixing,6
money,stick,5
putting,And,6
computer,market,6
underneath,TV,10
TV,screen,6
household,PCs,8
offering,package,8
services,said,6
music,movies,4
video,recorder,6
downloads,latest,8
giving,DVDlike,6
individual,song,10
access,film,6
media,server,5
"place

Microsoft",tactical,12
tactical,area,6
area,Windows,7
Windows,XP,7
Media,Center,5
Center,software,6
software,suite,5
adopted,broadcasters,8
PC,"users

The",10
makers,release,5
Sony,Philips,7
stab,similar,5
similar,intentions,9
PSX,,3
,majority,8
variation,PlayStation,5
PlayStation,3,11
,majority,8
year,Chris,5
Japan,US,5
attempt,cash,7
generally,seen,7
seen,good,4
failure,Both,7
Both,background,9
companies,estimate,8
believe,hold,6
increasing,convergence,9
capabilities,new,11
games,Even,4
consoles,expected,7
powerful,Mac,8
PCs,Also,3
technology,balked,9
accessible,browser,9
persuade,people,5
buyers,women,5
pride,place,3
place,home,4
video,recorder,6
"rack

Sony",IBM,10
IBM,technology,10
want,upgrade,6
sure,parts,4
dominance,games,8
PC,"users

The",10
market,Mac,5
enjoyed,Microsoft,8
Microsoft,Confusingly,10
Intel,Celeron,6
allowed,extend,6
extend,market,6
market,Mac,5
By,contrast,8
creating,radically,8
radically,change,8
new,products,8
architecture,architecture,0
architecture,architecture,0
games,Even,4
console,developers,8
sure,parts,4
huge,numbers,5
seller,hope,5
hope,end,4
Cell,,4
processor,512MB,9
dominant,technology,9
technology,balked,9
living,rooms,6
room,improve,5
shutting,rivals,8
rivals,working,7
Once,established,10
established,TV,11
TV,screen,6
doubt,hope,4
hope,end,4
use,help,4
base,native,4
camp,extend,6
extend,market,6
traditional,medium,9
PCs,Also,3
instigate,regime,7
regime,change,5
change,"quickly

Nick",12
desktop,computer,7
Cell,,4
fact,lead,4
specifically,designed,10
designed,bring,6
deployed,house,7
house,The,4
The,Macworld,8
links,Part,5
multiple,Cell,6
processors,linked,9
extended,reach,7
reach,Apple,5
Cell,,4
processors,linked,9
entirely,different,7
different,"features



A",11
"systems

Sony",hopes,11
hopes,Cells,4
Cells,televisions,8
televisions,kitchen,10
kitchen,appliances,8
appliances,use,9
use,help,4
sort,computer,6
computer,market,6
chip,80,4
Each,Cell,4
Cell,,4
linked,run,5
creating,radically,8
vast,music,4
home,"computer

It's",11
network,security,7
computing,world,8
power,tasks,5
Resources,Cells,7
Cells,televisions,8
house,The,4
pooled,provide,4
provide,great,6
power,tasks,5
links,Part,5
enable,people,4
devices,"reaction

His",10
talk,programme,8
programme,Go,8
microwave,TV,9
TV,screen,6
example,said,6
This,turn,4
digital,music,6
home,"computer

It's",11
future,exciting,7
depends,widespread,6
widespread,constantly,10
adoption,Cell,8
Cell,,4
processor,512MB,9
things,easy,6
number,auto,5
reasons,fail,6
fail,Because,6
Because,processor,7
processor,512MB,9
different,"features



A",11
requires,severe,5
programmers,learn,9
learn,tell,4
different,"features



A",11
way,help,4
writing,software,7
software,suite,5
changeover,simply,10
simply,voice,6
difficult,master,9
master,says,5
You,find,4
guarantee,Microsoft,8
Microsoft,Confusingly,10
Intel,Celeron,6
going,absolutely,9
sit,alongside,7
let,consumers,8
Cell,,4
home,"computer

It's",11
computing,world,8
fight,hard,5
Microsoft,Confusingly,10
going,absolutely,9
pushing,better,7
Xbox,2,4
2,codename,8
hard,drive,5
possible,components,9
sure,parts,4
technology,balked,9
Sony's,European,7
tree,Christmas,8
Christmas,healthrelated,11
Intel,Celeron,6
furiously,working,8
working,Apple,7
new,products,8
designs,address,6
address,fake,6
problems,Already,8
current,fragmentation,10
chips,create,5
create,style,5
rival,firms,4
technology,balked,9
Cell,,4
doesn't,better,6
lose,game,3
desktop,computer,7
PC,"users

The",10
dominance,games,8
If,don't,5
Cell,,4
succeeds,living,8
living,rooms,6
room,improve,5
technology,balked,9
choice,provide,4
provide,great,6
jumpstart,fully,8
fully,digital,7
digital,music,6
home,"computer

It's",11
future,exciting,7
The,Macworld,8
revolution,transform,10
televised,played,6
played,small,5
videogame,"controller
",10
"controller
",PlayStation,11
PlayStation,3,11
3,Xbox,4
processor,512MB,9
"unveiled

The",Cell,11
Cell,,4
processor,512MB,9
drive,memory,6
Sony's,European,7
PlayStation,3,11
3,Xbox,4
run,It's,4
10times,faster,6
faster,said,5
current,fragmentation,10
PC,"users

The",10
chips,create,5
designers,"said

Sony",10
"said

Sony",IBM,10
IBM,technology,10
Toshiba,working,5
working,Apple,7
Cell,,4
processor,512MB,9
years,market,5
unveiled,chip,7
chip,80,4
Monday,If,6
It,sale,4
designed,bring,6
use,help,4
graphics,cards,6
workstations,new,12
new,products,8
PlayStation,3,11
console,developers,8
described,supercomputer,10
supercomputer,chip,11
chip,80,4
The,Macworld,8
chip,80,4
run,It's,4
speeds,greater,6
greater,risks,6
4,GHz,3
GHz,firms,5
firms,developing,10
said,Jonny,5
By,contrast,8
comparison,rival,8
rival,firms,4
chip,80,4
maker,title,5
Intel's,fastest,6
fastest,processor,7
processor,512MB,9
runs,38,4
38,GHz,3
GHz,firms,5
Details,chip,6
chip,80,4
released,called,5
International,Solid,12
Solid,State,4
State,Circuits,7
Circuits,Conference,9
Conference,San,9
San,Diego,5
Francisco,The,9
The,Macworld,8
new,products,8
processor,512MB,9
set,central,5
ignite,fresh,6
fresh,battle,6
battle,Intel,4
Intel,Celeron,6
Cell,,4
consortium,processor,9
processor,512MB,9
sits,centre,5
centre,it's,5
digital,music,6
products,launched,8
The,Macworld,8
PlayStation,3,11
3,Xbox,4
expected,PC,8
2006,Basically,9
Toshiba,working,5
plans,development,9
incorporate,highend,11
highend,video,5
televisions,kitchen,10
year,Chris,5
IBM,technology,10
said,Jonny,5
sell,£339,4
workstation,longer,10
chip,80,4
starting,environmentally,13
later,"year

Cell",8
"year

Cell",comprised,9
comprised,computing,5
computing,world,8
engines,making,5
cores,A,5
A,previous,8
core,gamers,5
based,IBM,5
IBM's,Power,5
Power,PC,4
architecture,architecture,0
controls,synergistic,8
synergistic,processing,10
processing,graphical,9
centres,In,6
In,total,5
simultaneously,carry,12
carry,calculations,10
10,euros,5
instruction,sequences,9
sequences,compared,8
compared,PCs,8
current,fragmentation,10
Intel,Celeron,6
"chips

Later",year,10
year,Chris,5
Intel,Celeron,6
Advanced,Micro,7
Micro,Devices,5
Devices,plan,7
plan,media,5
release,tiny,7
multicore,chips,8
chips,create,5
increase,basic,7
number,auto,5
instructions,written,9
executed,The,7
The,Macworld,8
Cell's,role,5
specifications,lack,13
suggest,PlayStation,10
PlayStation,3,11
3,Xbox,4
offer,powerful,6
significant,boost,10
boost,graphics,8
graphics,cards,6
capabilities,new,11
analysts,Mac,7
cautioned,features,7
features,based,6
product,announcement,9
announcement,find,11
find,role,4
way,help,4
systems,experts,6
Any,new,3
new,products,8
technology,balked,9
like,Apple,4
components,built,9
said,Jonny,5
Steve,Taylor,6
Kleynhans,analyst,8
analyst,Jupiter,7
Meta,Group,5
Group,He,5
He,said,4
said,Jonny,5
It,sale,4
vision,digital,5
need,second,4
big,"success

He",11
vision,digital,5
sell,£339,4
Then,there's,5
there's,competition,10
reality,it's,6
it's,good,4
going,absolutely,9
generally,seen,7
levels,"go

It's",7
chain,"there

While",10
"there

While",PlayStation,11
PlayStation,3,11
3,Xbox,4
likely,pair,6
massmarket,product,9
product,announcement,9
use,help,4
Cell,,4
chip's,designers,7
designers,"said

Sony",10
said,Jonny,5
flexible,architecture,10
architecture,architecture,0
means,fewer,4
useful,I,6
wide,range,4
range,Online,5
applications,radically,9
servers,act,7
mobile,environments,10
phones,circulation,11
Initial,devices,7
devices,"reaction

His",10
unlikely,smaller,7
smaller,brush,7
games,Even,4
console,developers,8
version,auto,6
Cell,,4
run,It's,4
hot,need,4
need,second,4
cooling,fan,6
fan,base,3
And,bigger,6
marketing,machines,6
speak,describes,8
describes,chip,7
chip,80,4
supercomputer,chip,11
,majority,8
remains,significantly,11
significantly,slower,12
slower,connection,9
slowest,computer,7
computer,market,6
list,200,4
world's,500,7
500,supercomputers,14
supercomputers,IBM,14
IBM,technology,10
said,Jonny,5
Cell,,4
OS,X,2
neutral,support,7
support,wireless,8
multiple,Cell,6
operating,system,8
systems,experts,6
simultaneously,carry,12
designers,"said

Sony",10
confirm,Microsoft's,8
Microsoft's,Plays,10
Windows,XP,7
tested,chip,6
chip,80,4
If,don't,5
Cell,,4
challenge,film,8
Intel's,fastest,6
range,Online,5
chips,create,5
marketplace,need,10
need,second,4
find,role,4
inside,PlayStation,10
PCs,Also,3
predominantly,run,11
run,It's,4
"Windows
",Consumer,7
Consumer,Electronics,11
concern,RFID,7
RFID,"tags

Consumers",15
"tags

Consumers",concerned,13
concerned,restricting,10
use,help,4
radio,Finnish,6
frequency,ID,9
ID,RFID,2
RFID,"tags

Consumers",15
tags,shops,4
shops,survey,5
survey,"says

More",9
"says

More",half,9
half,phones,5
2000,people,6
people,expect,5
surveyed,said,6
said,Jonny,5
privacy,worries,7
worries,tags,6
tags,shops,4
monitor,They'd,7
stock,shelves,6
shelves,warehouses,7
warehouses,Some,8
Some,upgrades,7
consumer,devices,7
groups,known,5
expressed,doubts,8
concern,RFID,7
tags,shops,4
monitor,They'd,7
shoppers,left,7
left,unprotected,9
shops,survey,5
purchases,The,7
The,Macworld,8
survey,"says

More",9
showed,explains,8
awareness,technology,10
tags,shops,4
consumers,They,8
Europe,little,5
low,cost,3
The,Macworld,8
survey,"says

More",9
consumers,They,8
UK,$499,4
France,terms,6
Germany,Netherlands,7
Netherlands,The,9
carried,August,7
consultancy,group,10
group,test,5
Capgemini,The,8
The,Macworld,8
firm,The,4
works,"should

Once",11
behalf,tsunami,6
30,firms,5
firms,developing,10
seeking,new,6
promote,growth,4
growth,mobile,6
RFID,"tags

Consumers",15
technology,balked,9
The,Macworld,8
tags,shops,4
combination,low,10
computer,market,6
chip,80,4
antenna,read,6
read,specifications,12
scanner,,7
,majority,8
item,contains,7
contains,unique,7
unique,identification,12
identification,"number

Microsoft's",15
"number

More",half,12
half,phones,5
55%,respondents,11
respondents,said,9
said,Jonny,5
concerned,restricting,10
concerned,restricting,10
RFID,"tags

Consumers",15
tags,shops,4
allow,unauthorised,10
businesses,people,9
track,Elvis,5
consumers,They,8
product,announcement,9
purchases,The,7
Fifty,percent,7
percent,people,5
people,expect,5
said,Jonny,5
worried,RFID,7
RFID,"tags

Consumers",15
tags,shops,4
allow,unauthorised,10
data,network,6
freely,parties,6
parties,Ard,6
Ard,Jan,3
Jan,Vetham,5
Vetham,Capgemini's,10
Capgemini's,principal,9
principal,consultant,9
consultant,security,9
RFID,"tags

Consumers",15
said,Jonny,5
survey,"says

More",9
showed,explains,8
retailers,needed,7
needed,Mac,6
inform,educate,7
educate,people,6
people,expect,5
RFID,"tags

Consumers",15
accepted,technology,9
technology,balked,9
Acceptance,new,9
new,products,8
technologies,Gracenote's,9
tipping,point,4
point,buying,4
consumers,They,8
believe,hold,6
benefits,speech,7
outweigh,concerns,7
concerns,With,8
With,HD,4
right,connectors,9
RFID,"tags

Consumers",15
approach,design,8
ongoing,communication,10
communication,consumers,10
consumers,They,8
industry,experts,7
reach,Apple,5
point,buying,4
He,said,4
said,Jonny,5
survey,"says

More",9
showed,explains,8
people,expect,5
accept,returned,8
RFID,"tags

Consumers",15
felt,technology,8
technology,balked,9
mean,confusion,8
reduction,car,8
car,home,4
theft,peertopeer,8
faster,said,5
recovery,stolen,6
stolen,items,5
items,"too

There",9
The,Macworld,8
tags,shops,4
currently,small,8
Tesco,distribution,10
distribution,method,10
centre,it's,5
UK,$499,4
,majority,8
tags,shops,4
allow,unauthorised,10
rapid,inventory,9
inventory,bulk,9
bulk,items,5
items,"too

There",9
They,speculate,8
use,help,4
passcard,M6,8
M6,Toll,4
Toll,Midlands,7
Midlands,UK,8
UK,$499,4
Mr,Evans,5
Vetham,Capgemini's,10
said,Jonny,5
majority,iPod,7
people,expect,5
surveyed,said,6
52%,believed,8
believed,RFID,8
RFID,"tags

Consumers",15
tags,shops,4
read,specifications,12
distance,He,7
He,said,4
said,Jonny,5
misconception,based,11
based,IBM,5
lack,DVD,4
awareness,technology,10
technology,balked,9
At,point,4
consumer,devices,7
group,test,5
,majority,8
Consumers,Against,9
Against,20,7
Supermarket,Privacy,10
Privacy,Invasion,7
Invasion,Numbering,8
Numbering,Caspian,8
Caspian,,7
,majority,8
claimed,lost,6
RFID,"tags

Consumers",15
chips,create,5
secretly,identify,7
identify,people,7
people,expect,5
things,easy,6
carrying,wearing,4
wearing,All,7
All,TV,3
kinds,basic,5
personal,technology,8
belongings,including,7
including,looking,6
clothes,constantly,8
constantly,seeking,9
broadcast,you've,8
messages,tsunami,7
whereabouts,owners,8
owners,wanting,6
"warned
",Mobiles,7
Mobiles,set,6
'not,media,5
media,server,5
players,speaking,6
"yet'

Mobiles",ready,12
ready,said,4
allsinging,alldancing,3
alldancing,multimedia,9
multimedia,devices,8
devices,"reaction

His",10
replace,But,7
portable,game,6
media,server,5
players,speaking,6
"reports

Despite",moves,13
moves,search,6
bring,Macintosh,7
music,movies,4
download,known,6
services,said,6
mobiles,music,5
people,expect,5
want,upgrade,6
trade,multimedia,8
multimedia,devices,8
services,said,6
size,huge,3
battery,life,6
life,likely,3
said,Jonny,5
Jupiter,Research,8
A,previous,8
separate,worlds,7
study,net,5
Gartner,He,6
said,Jonny,5
realtime,basis,6
TV,screen,6
broadcasts,mobiles,8
mobiles,music,5
unlikely,smaller,7
Europe,little,5
2007,current,7
Technical,issues,9
issues,expressed,7
standards,,9
resolved,said,6
said,Jonny,5
report,online,6
Batteries,cope,8
cope,demand,6
services,said,6
operators,realising,9
offer,powerful,6
like,Apple,4
video,recorder,6
playback,video,8
video,recorder,6
messaging,megapixel,6
megapixel,cameras,8
cameras,music,6
games,Even,4
Bringing,music,7
music,movies,4
download,known,6
services,said,6
based,IBM,5
success,computerbased,11
computerbased,download,10
download,known,6
services,said,6
demands,battery,7
battery,life,6
"life

Fifty",percent,9
percent,people,5
Europeans,wait,8
said,Jonny,5
size,huge,3
mobile,environments,10
important,software,7
factor,came,5
came,Brian,5
choosing,phone,5
phone,market,5
power,tasks,5
demands,battery,7
tend,cautious,7
mean,confusion,8
larger,hard,4
handsets,years,7
Mobile,games,6
phone,market,5
music,movies,4
services,said,6
positioned,compete,8
compete,PC,7
PC,"users

The",10
music,movies,4
experience,allowing,8
handsets,years,7
ready,said,4
said,Jonny,5
Thomas,Husson,6
Husson,mobile,6
mobile,environments,10
analyst,Jupiter,7
Jupiter,Research,8
research,analysts,8
Mobile,games,6
music,movies,4
services,said,6
new,products,8
different,"features



A",11
enable,people,4
operators,realising,9
differentiate,brands,11
brands,support,7
support,wireless,8
generation,consoles,9
network,security,7
launches,promotional,11
Other,scam,5
problems,Already,8
facing,mobile,5
mobile,environments,10
music,movies,4
include,flamethrowers,12
limited,budget,6
storage,Said,6
phones,circulation,11
compared,PCs,8
portable,game,6
players,speaking,6
hold,pull,3
40GB,music,5
music,movies,4
The,Macworld,8
mobile,environments,10
industry,experts,7
keen,PC,4
music,movies,4
downloading,success,11
success,computerbased,11
Apple's,store,6
iTunes,iPhoto,5
Napster,net,6
net,service,6
music,movies,4
download,known,6
"services

With",phones,12
phones,circulation,11
getting,sophisticated,11
smarter,levels,7
powerful,Mac,8
demands,battery,7
able,start,5
watch,going,5
TV,screen,6
In,total,5
US,Adding,6
services,said,6
like,Apple,4
TiVo,To,2
To,makes,5
Go,"Digital
",8
let,consumers,8
people,expect,5
transfer,prerecorded,9
prerecorded,TV,11
TV,screen,6
content,control,3
phones,circulation,11
But,said,4
Gartner,He,6
report,online,6
mobile,environments,10
TV,screen,6
broadcasting,Europe,11
Europe,little,5
suggests,direct,6
direct,broadcasting,10
broadcasting,Europe,11
wait,2006,4
Currently,Chilean,7
TVlike,services,6
services,said,6
clips,downloaded,9
downloaded,84,10
offered,JAL,7
European,coordinator,9
operators,realising,9
like,Apple,4
Italy's,TIM,7
TIM,3,3
3,Xbox,4
Mobile,games,6
TV,screen,6
overcome,barriers,7
barriers,widely,7
widely,seen,5
taken,said,4
said,Jonny,5
"report

Various",standards,11
standards,,9
ways,they've,6
getting,sophisticated,11
TV,screen,6
signals,needed,7
mobiles,music,5
worked,Star,6
globally,recruited,9
In,total,5
Europe,little,5
trials,Berlin,6
Berlin,Helsinki,5
Helsinki,making,6
making,things,4
use,help,4
terrestrial,TV,11
TV,screen,6
masts,broadcast,7
broadcast,you've,8
compressed,version,8
signals,needed,7
handsets,years,7
extra,"cost

Apple",10
receivers,displays,8
A,previous,8
service,firm,6
Norwegian,telecoms,8
Broadcasting,Corporation,9
Corporation,lets,10
lets,play,4
people,expect,5
watch,going,5
TV,screen,6
programmes,films,8
mobiles,music,5
24,March,5
hours,If,5
day,globally,6
The,Macworld,8
service,firm,6
uses,net,3
3GP,technology,10
technology,balked,9
standards,,9
mobile,environments,10
TV,screen,6
But,said,4
end,making,5
2004,Englishlanguage,15
European,coordinator,9
Telecommunications,Institute,16
Institute,Etsi,7
Etsi,formally,8
formally,adopted,8
adopted,broadcasters,8
Digital,Gridlock,7
Video,Broadcasting,11
Broadcasting,Corporation,9
Handheld,DVBH,8
DVBH,mobile,6
mobile,environments,10
TV,screen,6
broadcasting,Europe,11
standard,video,7
Europe,little,5
Operators,working,8
working,Apple,7
standard,video,7
way,help,4
bring,Macintosh,7
realtime,basis,6
broadcasts,mobiles,8
mobiles,music,5
trying,tackle,5
overcome,barriers,7
barriers,widely,7
The,Macworld,8
cost,small,5
infrastructure,needs,12
needs,win,5
set,central,5
services,said,6
need,second,4
addressed,Handsets,6
Handsets,need,6
need,second,4
able,start,5
work,making,6
DVBH,mobile,6
standard,video,7
TV,screen,6
services,said,6
live,expectations,11
expectations,digital,10
digital,music,6
TV,screen,6
generation,consoles,9
expects,Mac,6
good,Apple,5
quality,"screens

It",11
images,people,6
low,cost,3
prices,hardware,7
according,PC,9
analysts,Mac,7
People,want,6
likely,pair,6
watching,TV,8
TV,screen,6
small,share,3
screens,LCD,7
said,Jonny,5
Gartner,He,6
Digital,Gridlock,7
video,recorder,6
recorders,like,8
like,Apple,4
Europe's,gamers,6
Sky+,box,4
box,If,3
videoondemand,services,11
services,said,6
mean,confusion,8
people,expect,5
control,digital,6
TV,screen,6
watch,going,5
As,Gavin,5
result,Chip,6
people,expect,5
broadcasting,Europe,11
straight,reviews,7
mobiles,music,5
taking,hands,5
away,highdetail,9
control,digital,6
More,clarity,6
powerful,Mac,8
smartphones,like,10
like,Apple,4
XDA,II,3
II,Nokia,5
Nokia,working,4
6600,SonyEricsson,12
SonyEricsson,P900,12
P900,Orange,6
Orange,E200,6
E200,offering,8
offering,package,8
web,email,5
access,film,6
text,10,4
multimedia,devices,8
messaging,megapixel,6
email,kinds,5
calendar,"said
",6
gaming,internet,7
increasingly,sophisticated,12
common,way,6
A,previous,8
report,online,6
analysts,Mac,7
InStat/MDR,predicted,10
predicted,year,8
smartphone,shipments,8
shipments,grow,9
grow,44%,4
44%,years,5
years,market,5
It,sale,4
says,Gavin,4
smartphones,like,10
117,million,7
