Current_Word,Next_Word,Levenshtein_distance
New,York,4
York,State,5
took,indepth,7
10,includes,8
years,ago,4
commercial,"websites

The",12
mobile,phones,6
service,address,7
launched,Connected,5
The,US,3
UK,telco,5
far,Huaral,4
rest,Peru,3
world,countries,7
setting,spoof,6
networks,download,8
1985,veteran,7
let,people,5
people,China,6
calls,Interactive,10
walked,The,5
The,US,3
St,Bernard,7
Katherine's,dock,11
dock,Vodafone's,8
Vodafone's,Japanese,7
head,BT's,4
office,thirdgeneration,14
Newbury,time,7
time,Chinese,5
curry,house,5
house,asking,6
For,it's,4
days,aired,5
1985,veteran,7
Vodafone,joined,6
firm,seen,4
mobile,phones,6
network,community,9
UK,telco,5
Then,rural,5
10,includes,8
January,2004,7
Cellnet,O2,7
O2,offers,6
launched,Connected,5
service,address,7
Mike,McGuire,4
Caudwell,spokesman,9
spokesman,UN's,8
Vodafone,joined,6
said,crackdown,7
phones,conceded,6
launched,Connected,5
size,A4,4
briefcase,cost,7
cost,computer,5
£2000,battery,7
battery,life,6
life,poorer,5
little,beauty,6
20,CDP101,5
"minutes

Despite",hugely,14
hugely,popular,6
popular,China,6
mid80s,said,5
said,crackdown,7
They,created,6
yuppy,musthave,7
musthave,status,6
status,quo,5
symbol,young,5
young,people,5
wealthy,business,8
business,worlds,7
folk,This,4
This,type,4
despite,rarity,5
fact,silicon,6
phones,conceded,6
analogue,radio,7
radio,number,6
signals,mobiles,6
communicate,public,9
easy,download,8
eavesdrop,He,8
He,said,4
said,crackdown,7
took,indepth,7
Vodafone,joined,6
years,ago,4
rack,millions,8
million,people,7
customers,use,6
18,"months

The",11
months,2004,6
second,trick,6
million,people,7
It's,working,7
easy,download,8
forget,crystalline,10
1983,Who,4
bid,shore,5
document,computer,6
forecasting,total,9
total,digital,4
market,prices,5
million,people,7
people,China,6
said,crackdown,7
Cellnet,O2,7
forecasting,total,9
half,hour,3
Now,wireless,8
Vodafone,joined,6
14m,customers,8
customers,use,6
UK,telco,5
Cellnet,O2,7
Vodafone,joined,6
mobile,phones,6
phone,upload,4
operators,users,6
UK,telco,5
1993,One2One,7
One2One,TMobile,6
TMobile,bets,6
launched,Connected,5
Orange,Expressionist,11
UK,telco,5
launch,major,5
1994,Both,4
Both,background,9
newcomers,operated,8
operated,central,7
digital,age,6
mobile,phones,6
networks,download,8
operators,users,6
use,ink,3
technology,causing,8
The,US,3
analogue,radio,7
spectrum,old,8
old,women,4
phones,conceded,6
retired,Called,5
Called,Global,6
Global,blogger,5
System,flagship,7
Mobiles,capacity,8
GSM,Neither,7
widely,watched,6
phone,upload,4
technology,causing,8
planet,help,6
help,users,4
12,list,4
billion,London,5
people,China,6
calls,Interactive,10
Mr,Negroponte,9
Caudwell,spokesman,9
said,crackdown,7
advent,digital,6
digital,age,6
technology,causing,8
helped,define,5
introduce,flatfee,8
things,it's,4
text,book,4
messaging,Four,9
roaming,mobiles,6
mobiles,report,7
"popular
",Blogs,7
Blogs,free,5
"mainstream

Web",logs,14
logs,online,5
blogs,dedicate,8
estimated,20000,9
million,people,7
web,instance,8
number,we're,5
set,strict,4
"grow

These",online,9
online,banking,4
diaries,come,6
come,form,3
shapes,styles,3
styles,ranging,7
ranging,plague,6
people,China,6
willing,hand,6
sharing,files,7
views,modified,7
pictures,Clicking,7
links,local,4
companies,like,8
interested,number,8
way,unleashing,9
reaching,100%,8
customers,use,6
But,dance,5
year,claim,4
focus,people,5
blogs,dedicate,8
cast,members,7
critical,security,7
eye,patch,5
news,agency,5
events,words,5
writing,local,7
issues,means,5
ignored,Parliament's,11
big,number,5
media,player,6
offering,legal,7
eyewitness,account,9
account,"information

In",13
events,words,5
Most,cinemas,7
blogs,dedicate,8
small,mountainous,10
readership,shot,8
communication,said,11
experts,backsliding,11
provided,vital,6
avenue,people,5
people,China,6
world,countries,7
politics,The,8
The,US,3
wellknown,delighted,7
examples,publishers',9
include,sextant,7
Iraqi,Salam,5
Salam,Pax's,4
Pax's,accounts,7
accounts,Those,7
USled,war,5
war,words,3
Iranian,"bloggers

The",12
vicepresident,Mohammad,12
Mohammad,Ali,8
Ali,Khamenei,7
Abtahi,exclusive,8
exclusive,rights,8
insight,action,6
Islamic,leaders,7
Republic's,government,10
government,agreed,8
highs,lows,4
lows,recent,6
recent,elections,6
US,government,10
election,official,7
campaign,It,8
There,farmers,5
websites,users,6
pulling,firsthand,8
firsthand,reporting,8
reporting,accounts,8
accounts,Those,7
heralded,blogs,7
blogs,dedicate,8
like,text,4
wikinewscom,launched,10
launched,Connected,5
"November

The",blogging,12
blogging,sites,8
movement,based,7
building,democratic,10
"years

Andrew",Nachison,11
Nachison,Director,7
Director,Media,7
Media,Labs,5
Center,An,5
USbased,Amazoncom,9
thinktank,Pew,9
studies,suggest,4
media,player,6
technology,causing,8
society,Tono,6
highlights,US,10
US,government,10
presidential,election,8
race,ghost,5
possible,wages,8
turning,profit,6
point,reached,7
blogs,dedicate,8
You,don't,4
look,creative,8
moment,Apple,6
audiences,west,8
exercised,new,8
new,technology,9
form,aims,4
power,The,4
choose,click,5
sources,"row

Civil",9
information,tracking,9
says,developing,10
And,vice,4
blogs,dedicate,8
key,elements,7
transformation,drawer,11
Among,17,5
blogs,dedicate,8
carrying,phones,8
picture,messages,7
messages,given,7
saying,needed,6
sorry,George,4
George,W,6
W,Bush's,6
Bush's,victory,7
victory,responses,8
responses,supporters,6
supporters,In,10
Mr,Negroponte,9
Nachison,Director,7
argues,capacity,7
blogs,dedicate,8
independent,advice,9
sources,"row

Civil",9
images,The,5
ideas,means,3
circumvent,traditional,10
traditional,companies,10
sources,"row

Civil",9
news,agency,5
information,tracking,9
newspapers,carried,9
TV,telephone,9
radio,number,6
We,display,7
acknowledge,cases,9
cases,said,4
mainstream,technology,10
media,player,6
actually,dispensed,9
plays,big,5
role,solving,5
discussion,Chinese,9
distribution,model,12
ideas,means,3
told,BBC,4
BBC,World,5
News,Agency,5
website,There,6
But,dance,5
followed,soon,6
story,passage,6
didn't,light,4
lead,trend,3
"it

Some",parts,8
parts,assembled,9
socalled,DeCSS,8
traditional,companies,10
media,player,6
expressed,concern,8
concerns,trademark,8
emerging,technologies,9
competitor,raising,9
raising,questions,6
questions,biometric,9
journalistic,value,10
value,open,5
"blogs

Others",like,11
like,text,4
French,Green,4
newspaper,northern,7
Le,Monde,4
Monde,applied,6
applied,discs,7
different,sectors,8
strategy,hitting,7
offering,legal,7
blogs,dedicate,8
content,like,6
I,prefer,6
don't,sell,5
think,"well

How",9
mission,provide,6
role,solving,5
journalism,threatened,9
threatened,It,9
It,dries,5
transition,current,9
society,Tono,6
transition,current,9
says,developing,10
Mr,Negroponte,9
Nachison,Director,7
However,reality,7
agrees,draft,5
experts,backsliding,11
like,text,4
linguist,political,8
political,blogs,8
analyst,Gartner,7
Noam,Chomsky,6
Chomsky,mainstream,9
mainstream,technology,10
media,player,6
lost,efficacy,8
traditional,companies,10
role,solving,5
news,agency,5
gatekeeper,The,9
The,US,3
onetomany,road,7
road,Coalition,7
traditional,companies,10
journalism,threatened,9
yes,liking,6
threatened,It,9
And,vice,4
professional,journalists,11
journalists,early,9
need,rear,3
acclimate,environment,10
environment,young,9
contributors,discourse,10
discourse,says,7
says,developing,10
Mr,Negroponte,9
Nachison,Director,7
The,US,3
notion,gatekeeper,9
gatekeeper,The,9
filters,tuned,6
decides,what's,6
what's,happening,8
acceptable,widespread,9
public,policy,3
consumption,distance,10
isn't,that's,5
that's,cheaper,5
gone,integrated,8
forever,,7
With,broadband,9
people,China,6
walking,information,10
information,tracking,9
devices,Workplace,8
pockets,like,5
like,text,4
camera,1900,6
video,game,4
phones,conceded,6
going,200,5
instances,damage,7
ordinary,flat,7
citizens,security,8
breaking,"stories

It",9
"stories

It",unlikely,10
unlikely,Europe,7
end,2006,4
living,short,6
planet,help,6
human,rights,6
"blogger

But",current,10
current,hightech,7
number,we're,5
blogs,dedicate,8
likely,region,6
growing,intimate,8
web,instance,8
overloaded,information,10
information,tracking,9
Blog,reading,6
analysis,tool,7
firm,seen,4
Technorati,blog,9
estimates,James,6
number,we're,5
blogs,dedicate,8
existence,long,8
socalled,DeCSS,8
blogosphere,corpus,9
exceeded,million,8
million,people,7
growing,intimate,8
exponential,levels,10
levels,laid,5
Tools,sitting,7
Google's,toolbar,5
Blogger,software,7
MovableType,recently,10
recently,closed,7
launched,Connected,5
beta,form,4
version,PS3,7
MSN,Messenger,8
Spaces,making,6
making,money,5
easier,use,4
run,Linuxbased,9
blog,community,9
US,government,10
research,development,9
thinktank,Pew,9
Pew,Internet,7
Internet,Explorer,7
&,Bell,4
American,system,8
Life,Project,6
says,developing,10
blog,community,9
created,telco's,7
58,seconds,7
seconds,Technorati,7
40%,homes,5
total,digital,4
updated,automatically,10
months,2004,6
But,dance,5
experts,backsliding,11
agree,net,4
phenomenon,users,9
allowing,enter,8
individuals,illegally,9
publish,thoughts,7
share,experiences,9
ideas,means,3
exchange,peertopeer,8
information,tracking,9
comment,directly,7
current,hightech,7
issues,means,5
post,images,6
images,The,5
video,game,4
web,instance,8
easily,compromised,10
stay,cinemas,6
We,display,7
entering,market,7
era,open,4
technological,"marvel!

Sony",13
infrastructure,provision,13
creating,future,7
different,sectors,8
context,tell,5
tell,"that

The",8
stories,ink,6
communicate,public,9
said,crackdown,7
Mr,Negroponte,9
Nachison,Director,7
And,vice,4
there's,strong,6
going,200,5
bad,idea,4
comes,Google's,5
"good
",Honour,4
Honour,UK,6
UK,telco,5
games,people,6
"maker

Leading",British,12
British,specialist,7
computer,games,6
games,people,6
maker,Sybari,5
Peter,Molyneux,7
Molyneux,OBE,8
OBE,New,3
New,York,4
Year,Honours,6
Honours,"list

The",9
"list

The",head,9
head,BT's,4
Surrey's,Lionhead,8
Lionhead,Studios,8
Studios,fit,6
granted,This,7
honour,services,8
services,Dan,8
computer,games,6
games,people,6
industry,natural,7
Mr,Negroponte,9
Molyneux,OBE,8
groundbreaking,use,12
games,people,6
15,April,5
years,ago,4
Populous,Theme,8
Theme,Park,5
Park,Dungeon,7
Dungeon,Keeper,6
Keeper,Black,6
Black,White,5
White,He,4
He,said,4
widely,watched,6
credited,helping,7
helping,hand,5
create,safer,5
popularise,socalled,8
socalled,DeCSS,8
godgame,"genre

Speaking",13
"genre

Speaking",BBC,15
BBC,World,5
News,Agency,5
website,There,6
Mr,Negroponte,9
Molyneux,OBE,8
said,crackdown,7
receiving,ballot,9
honour,services,8
surprise,This,6
It's,working,7
come,form,3
completely,separate,8
blue,lower,4
said,crackdown,7
I,prefer,6
guessed,I'd,6
I'd,need,3
kind,verify,5
honour,services,8
He,said,4
said,crackdown,7
surprised,voters,7
long,worried,6
ago,,3
people,China,6
thought,remnants,7
computer,games,6
gaming,Baftawinning,8
"fad

It",thought,6
thought,remnants,7
like,text,4
skateboarding,said,10
said,crackdown,7
craze,thought,7
thought,remnants,7
away,middle,6
Now,wireless,8
said,crackdown,7
gaming,Baftawinning,8
world,countries,7
rivals,Firefox,6
movie,People,4
industry,natural,7
sales,"figures

Gamers",11
cultural,drive,8
influence,young,7
Britain,US,7
plays,big,5
big,number,5
said,crackdown,7
It's,working,7
founding,nations,7
nations,old,6
industry,natural,7
Mr,Negroponte,9
Molyneux,OBE,8
pivotal,figure,6
figure,closer,6
computer,games,6
games,people,6
industry,natural,7
20,CDP101,5
years,ago,4
His,sentence,8
career,started,4
started,US,7
Bullfrog,Studios,7
Studios,fit,6
1987,produced,8
produced,Linux,7
Populous,Theme,8
Godgames,The,7
The,US,3
title,rules,4
gave,children,7
players,incensed,7
control,unprotected,9
lives,So,5
small,mountainous,10
population,In,9
computerised,people,9
people,China,6
Mr,Negroponte,9
Molyneux,OBE,8
said,crackdown,7
involvement,farmers,9
games,people,6
industry,natural,7
started,US,7
accident,early,8
early,1980s,5
days,aired,5
game,graphics,6
making,money,5
hobby,career,6
career,started,4
I,prefer,6
thought,remnants,7
treat,Populous,8
Populous,Theme,8
weird,man's,5
said,crackdown,7
huge,variety,6
international,nonprofit,10
success,Throughout,9
He,said,4
left,thumb,5
Bullfrog,Studios,7
1997,2002,4
set,strict,4
Lionhead,Studios,8
Studios,fit,6
ambitous,widely,7
widely,watched,6
acclaimed,game,6
game,graphics,6
Black,White,5
&,Bell,4
White,He,4
One,Why?,4
titles,Rory,6
come,form,3
Lionhead,Studios,8
puts,cash,4
players,incensed,7
charge,water,5
movie,People,4
studio,general,7
tasks,The,5
producing,chip,8
directing,users,8
hit,150000,6
film,"network

The",12
The,US,3
veteran,comedian,5
game,graphics,6
maker,Sybari,5
says,developing,10
problem,With,7
solve,Being,5
Being,Digital,6
absolute,geek,8
geek,gadget,4
I've,got,4
got,common,5
idea,popular,6
I'm,rubbish,7
going,200,5
wear,headset,5
I,prefer,6
pick,choose,6
"said
",PlayStation,9
Bush,voters,6
website,There,6
blocked,outside,7
outside,modern,7
"US

Surfers",outside,10
outside,modern,7
US,government,10
unable,swap,5
visit,kept,4
official,scan,6
reelection,site,9
site,There,4
President,Askar,8
George,W,6
W,Bush's,6
"Bush

The",blocking,9
blocking,mail,7
browsers,Microsoft,7
sited,outside,5
outside,modern,7
US,government,10
began,petition,6
early,1980s,5
hours,week,5
Monday,Yahoo,6
morning,testing,4
Since,launch,4
people,China,6
outside,modern,7
US,government,10
trying,understand,8
browse,site,5
site,There,4
message,bears,5
saying,needed,6
authorised,users,7
view,said,4
The,US,3
blocking,mail,7
appear,web,5
attack,software,6
vandals,malicious,7
malicious,program,9
hackers,find,7
result,better,5
policy,CompTIA,6
decision,Internet,8
Bush,voters,6
"camp

The",international,13
international,nonprofit,10
exclusion,zone,8
zone,georgewbushcom,12
georgewbushcom,spotted,12
spotted,recently,7
net,cafe,4
monitoring,employees,9
firm,seen,4
Netcraft,keeps,7
keeps,eye,4
eye,patch,5
traffic,layout,6
patterns,different,6
different,sectors,8
sites,people,6
Netcraft,keeps,7
said,crackdown,7
early,1980s,5
hours,week,5
25,people,6
October,December,4
attempts,switch,8
view,said,4
site,There,4
monitoring,employees,9
stations,manufacture,10
London,It,6
Amsterdam,Sydney,8
Sydney,"failed

By",8
"failed

By",contrast,10
contrast,said,7
Netcraft's,monitoring,10
monitoring,employees,9
stations,manufacture,10
US,government,10
managed,view,6
view,said,4
site,There,4
problems,Others,6
The,US,3
site,There,4
seen,experts,6
anonymous,blogs,7
proxy,services,7
services,Dan,8
based,experiments,10
US,government,10
Some,users,5
web,instance,8
users,Logs,4
Canada,report,6
report,Chinese,7
browse,site,5
site,There,4
The,US,3
pattern,arm,5
traffic,layout,6
website,There,6
suggests,people,8
blocking,mail,7
attack,software,6
vandals,malicious,7
politically,motivated,7
motivated,purchase,7
hackers,find,7
Geographic,blocking,9
blocking,mail,7
works,IFES,5
numerical,addresses,9
addresses,uses,6
net,cafe,4
uses,free,3
organise,vital,7
handed,official,8
regional,blog,7
basis,On,5
On,infected,7
21,October,7
October,December,4
George,W,6
W,Bush's,6
Bush,voters,6
website,There,6
began,petition,6
services,Dan,8
company,announced,8
called,BankashA,7
Akamai,ensure,6
ensure,Britain's,9
pages,directing,8
videos,DVDs,5
content,like,6
site,There,4
reaches,farmers,5
visitors,use,7
Mike,McGuire,4
Prettejohn,president,8
president,Microsoft,8
Netcraft,keeps,7
speculated,blocking,9
blocking,mail,7
decision,Internet,8
taken,crack,5
cut,downloaded,10
costs,Mr,5
traffic,layout,6
runup,election,8
election,official,7
2,UMD,3
November,2004,8
He,said,4
said,crackdown,7
site,There,4
reason,I,6
distribute,sell,9
content,like,6
people,China,6
voting,"abstain

Opponents",15
week,The,3
Managing,traffic,7
traffic,layout,6
good,creative,8
way,unleashing,9
ensure,Britain's,9
site,There,4
stays,finger,6
working,"tool!

The",9
closing,months,6
days,aired,5
election,official,7
campaign,It,8
However,reality,7
simply,crude,6
blocking,mail,7
nonUS,visitors,8
visitors,use,7
means,people,5
Americans,according,8
overseas,sex,6
barred,Akamai,6
Akamai,ensure,6
declined,comment,7
comment,directly,7
saying,needed,6
talk,need,4
customer,demand,8
"websites
",Blogger,8
Blogger,software,7
grounded,"airline

A",8
"airline

A",US,10
US,government,10
airline,attendant,7
attendant,blogger,9
fighting,criminal,7
job,sealing,7
suspended,clean,8
postings,blog,7
blog,community,9
online,banking,4
"diary

Queen",Sky,11
Sky,"Plus

Cable",11
known,firm,5
Ellen,Simonetti,8
Simonetti,deputy,8
evolved,"quickly

Has",11
anonymous,blogs,7
semifictional,account,11
account,"information

In",13
life,poorer,5
sky,But,3
But,dance,5
posted,,6
pictures,Clicking,7
uniform,Delta,7
Delta,Airlines,7
Airlines,suspended,7
suspended,clean,8
indefinitely,pay,11
pay,licence,7
Ms,Deans,4
Simonetti,deputy,8
told,BBC,4
suspension,result,8
result,better,5
inappropriate,net,11
images,The,5
Delta,Airlines,7
Airlines,suspended,7
declined,comment,7
"comment

I",shocked,9
shocked,I,7
I,prefer,6
warning,messages,8
Ms,Deans,4
Simonetti,deputy,8
told,BBC,4
BBC,World,5
News,Agency,5
Online,soccer,6
I,prefer,6
thought,remnants,7
I,prefer,6
trouble,protect,5
blog,community,9
I,prefer,6
thought,remnants,7
problem,With,7
said,crackdown,7
taking,extra,6
action,Because,6
The,US,3
issue,series,5
highlighted,muddy,11
concerns,trademark,8
growing,intimate,8
blogging,sites,8
community,computer,5
conflicts,interest,8
interest,groups,7
employment,law,9
law,requiring,9
free,fair,3
speech,RSA,6
personal,information,10
websites,users,6
Ms,Deans,4
Simonetti,deputy,8
suspended,clean,8
25,people,6
September,2004,9
pending,investigation,11
investigation,UK's,12
lodged,complaint,8
complaint,copyright,5
US,government,10
Equal,Employment,9
Employment,Opportunity,8
Opportunity,Commission,10
Commission,resubmit,9
EEOC,A,4
A,patch,5
spokesperson,The,11
Delta,Airlines,7
Airlines,suspended,7
told,BBC,4
BBC,World,5
News,Agency,5
Online,soccer,6
All,100000,6
I,prefer,6
tell,"that

The",8
discuss,internal,8
internal,employee,8
employee,number,7
issues,means,5
media,player,6
She,started,6
added,Tara,5
similar,issues,6
situation,If,9
personal,information,10
websites,users,6
occurred,A,8
"past

Ms",Simonetti,9
Simonetti,deputy,8
started,US,7
personal,information,10
blog,community,9
January,2004,7
help,users,4
mother's,death,7
death,people,5
She,started,6
ensured,mention,6
mention,generation,4
airline,attendant,7
worked,globally,7
created,telco's,7
fictional,names,9
names,look,5
cities,But,5
companies,like,8
The,US,3
airline's,changed,8
changed,forever,6
Anonymous,Airline,8
Airline,city,6
city,disappeared,10
based,experiments,10
called,BankashA,7
Quirksville,A,11
A,patch,5
large,factors,6
blog,community,9
contained,webpage,7
fictional,names,9
stories,ink,6
Queen,Sky,5
Sky,"Plus

Cable",11
developed,"world
",8
months,2004,6
character,Western,7
right,powerful,8
according,Mr,8
Ms,Deans,4
"Simonetti

The",images,11
images,The,5
taken,crack,5
digital,age,6
camera,1900,6
inherited,mother,7
mother,We,5
We,display,7
pictures,Clicking,7
flight,attendant,8
layovers,I,8
I,prefer,6
include,sextant,7
blog,community,9
fun,found,2
I,prefer,6
meant,laser,5
harm,public,6
company,announced,8
don't,sell,5
understand,creative,8
think,"well

How",9
harm,public,6
Ms,Deans,4
Simonetti,deputy,8
said,crackdown,7
She,started,6
claimed,lost,6
pictures,Clicking,7
male,Delta,4
Delta,Airlines,7
Airline,city,6
employees,sacked,8
uniform,Delta,7
freely,available,8
available,important,9
web,instance,8
Of,electronic,10
10,includes,8
images,The,5
site,There,4
showed,improper,6
Ms,Deans,4
Simonetti's,flight,10
flight,attendant,8
wings,They,5
They,created,6
tell,"that

The",8
pictures,Clicking,7
problem,With,7
I,prefer,6
assuming,greater,8
posing,seats,6
seats,skirt,4
skirt,rode,5
rode,said,4
said,crackdown,7
The,US,3
images,The,5
removed,project,6
soon,moved,4
learned,behaviour,7
suspended,clean,8
As,blocking,8
far,Huaral,4
Ms,Deans,4
Simonetti,deputy,8
knows,present,7
company,announced,8
antiblogging,policy,10
policy,CompTIA,6
There,farmers,5
guidance,suggests,7
suggests,people,8
company,announced,8
uniform,Delta,7
approval,parliament,8
management,firm,9
use,ink,3
personal,information,10
pictures,Clicking,7
websites,users,6
"unclear

Jeffrey",Matsuura,14
Matsuura,director,8
director,AADC,8
law,requiring,9
technology,causing,8
programme,Go,8
University,California,8
Dayton,said,5
said,crackdown,7
personal,information,10
websites,users,6
hazardous,employers,8
employers,consider,7
employees,sacked,8
There,farmers,5
examples,publishers',9
employees,sacked,8
presented,fair,9
kind,verify,5
material,computer,7
online,banking,4
gotten,trouble,6
trouble,protect,5
employers,consider,7
said,crackdown,7
It,dries,5
crucial,security,6
policy,CompTIA,6
acceptable,widespread,9
expressed,concern,8
clearly,month,7
reasonable,enforced,8
enforced,fairly,7
fairly,accessible,8
company,announced,8
policy,CompTIA,6
You,don't,4
remember,different,8
employee,number,7
don't,sell,5
total,digital,4
free,fair,3
speech,RSA,6
anymore,One,5
said,crackdown,7
Mr,Negroponte,9
Matsuura,director,8
added,Tara,5
companies,like,8
actively,dissuading,10
encouraged,conmen,7
employees,sacked,8
blog,community,9
One,Why?,4
areas,scarce,5
problem,With,7
encourage,people,7
suits,US,5
particularly,useful,10
clear,step,4
employees,sacked,8
cross,line,5
line,language,5
He,said,4
speculated,blocking,9
Delta,Airlines,7
concerned,Google's,8
fictional,names,9
content,like,6
blog,community,9
linked,wireless,6
airline,attendant,7
images,The,5
Ms,Deans,4
Simonetti,deputy,8
uniform,Delta,7
posted,,6
Whether,successful,9
successful,digital,9
depend,stolen,5
exactly,print,6
prohibited,products,6
reasonably,content,8
content,like,6
crosses,score,5
line,language,5
said,crackdown,7
Ms,Deans,4
Simonetti,deputy,8
said,crackdown,7
suspension,result,8
caused,failures,5
friends,recommended,8
discontinue,blogs,10
blogs,dedicate,8
One,Why?,4
asked,magazine,7
stop,75%,4
blogging,sites,8
company,announced,8
action,Because,6
taken,crack,5
If,ink,3
asked,magazine,7
blog,community,9
I,prefer,6
given,"users

It",9
option,allows,6
said,crackdown,7
This,type,4
blogging,sites,8
thing,taking,2
obviously,It,9
new,technology,9
problem,With,7
employers,consider,7
need,rear,3
policy,CompTIA,6
If,ink,3
I,prefer,6
known,firm,5
cost,computer,5
job,sealing,7
I,prefer,6
"that
",Camera,6
Camera,phones,6
phones,conceded,6
"'musthaves'

Four",times,14
times,That,5
mobiles,report,7
cameras,Piero,5
sold,world,2
Europe,,6
end,2006,4
2004,country's,9
year,claim,4
says,developing,10
report,Chinese,7
analysts,agree,7
"Gartner

Globally",number,15
number,we're,5
sold,world,2
reach,1000,5
159,million,7
million,people,7
increase,distribution,10
104%,The,4
The,US,3
report,Chinese,7
predicts,kind,7
nearly,double,5
70%,filesharing,11
mobile,phones,6
phones,conceded,6
sold,world,2
builtin,expiration,6
camera,1900,6
2008,according,9
Improving,imaging,5
imaging,technology,9
technology,causing,8
mobiles,report,7
making,money,5
increasingly,relying,7
musthave,status,6
buy,antivirus,8
In,effort,6
Europe,,6
cameras,Piero,5
mobiles,report,7
13,January,7
megapixel,cameras,8
images,The,5
But,dance,5
Japan,The,5
Asia,appear,5
Pacific,camera,6
camera,1900,6
phone,upload,4
technology,causing,8
advanced,US,8
mobiles,report,7
released,Microsoft,8
32,million,7
megapixel,cameras,8
images,The,5
Japan,The,5
dominates,share,7
mobile,phones,6
phone,upload,4
technology,causing,8
uptake,huge,5
huge,variety,6
By,far,3
2008,according,9
according,Mr,8
Gartner,told,6
95%,mobiles,7
mobiles,report,7
sold,world,2
cameras,Piero,5
"them

Camera",phones,10
phones,conceded,6
teething,troubles,7
problems,Others,6
launched,Connected,5
people,China,6
struggled,adapt,9
poor,farmers,6
quality,bit,5
images,The,5
uses,free,3
complexity,expense,8
expense,sending,6
sending,infrastructure,13
MMS,Multimedia,9
Multimedia,successful,9
Messaging,Services,8
Services,This,6
This,type,4
changed,forever,6
18,"months

The",11
months,2004,6
Handset,makers,6
makers,animators,5
concentrated,trying,10
trying,understand,8
phones,conceded,6
easier,use,4
use,ink,3
Realising,people,8
people,China,6
like,text,4
use,ink,3
camera,1900,6
phones,conceded,6
different,sectors,8
ways,,4
introduced,2002,10
design,good,6
features,added,6
like,text,4
rotating,screens,7
screens,AADC,7
viewfinders,removable,10
removable,storage,6
memory,The,6
cards,recommend,8
easier,use,4
controls,websites,7
send,prints,5
picture,messages,7
"messages

Mobile",companies,14
companies,like,8
introduced,2002,10
ways,,4
people,China,6
share,experiences,9
photos,phone,3
people,China,6
These,elections,8
included,items,7
giving,competitive,9
people,China,6
easier,use,4
ways,,4
publish,thoughts,7
websites,users,6
mobile,phones,6
blogs,dedicate,8
,German,6
moblogs,But,7
But,dance,5
report,Chinese,7
suggests,people,8
image,ordinary,6
quality,bit,5
increases,"speed

These",10
people,China,6
interested,number,8
printing,pictures,6
pictures,Clicking,7
kiosks,Image,6
Image,sensor,6
sensor,computer,7
technology,causing,8
inside,shell,6
cameras,Piero,5
phones,conceded,6
improving,navigation,9
The,US,3
Gartner,told,6
report,Chinese,7
suggests,people,8
mid2005,It,7
likely,region,6
image,ordinary,6
resolution,camera,10
camera,1900,6
phones,conceded,6
megapixels,Consumer,9
Consumer,Electronics,11
digital,age,6
cameras,Piero,5
images,The,5
range,frequencies,8
megapixels,Consumer,9
quality,bit,5
megapixels,Consumer,9
highend,"mobiles

Competition",18
camera,1900,6
But,dance,5
lot,spammers,8
work,"on

While",9
camera,1900,6
phones,conceded,6
like,text,4
digital,age,6
cameras,Piero,5
Some,users,5
handsets,means,6
feature,surprisngly,11
limited,Digital,4
zoom,capability,10
capability,London,10
manufacturers,components,12
looking,continue,5
technological,"marvel!

Sony",13
improvements,let,10
let,people,5
people,China,6
photos,phone,3
poorlylit,conditions,9
conditions,like,9
like,text,4
nightclubs,Other,9
Other,rumours,6
developments,design,9
include,sextant,7
wideangle,modes,7
modes,quench,6
basic,knowledge,9
editing,changes,7
features,added,6
better,business,6
sensors,processors,5
processors,slower,7
recording,saving,6
film,"network

The",12
"clips

Images",camera,11
camera,1900,6
phones,conceded,6
art,sponsorship,10
world,countries,7
An,ownbrand,7
exhibition,year,10
month,The,5
aid,"website

Net",11
charity,Mencap,7
Mencap,feature,6
feature,surprisngly,11
snaps,taken,5
taken,crack,5
camera,1900,6
phones,conceded,6
"artists

The",exhibition,11
exhibition,year,10
Fonetography,feature,10
feature,surprisngly,11
images,The,5
taken,crack,5
photographers,David,12
David,Stanley,6
Bailey,Rankin,5
Rankin,Nan,4
Nan,Goldin,5
Goldin,artists,7
artists,Langlands,7
Sir,Peter,4
Peter,Molyneux,7
Blake,Tracey,4
Tracey,Emin,6
Emin,Jack,4
Jack,Vettriano,8
Vettriano,But,8
But,dance,5
uses,free,3
worried,net,6
organisations,focused,12
Intel,unveils,4
Samsung,UK's,6
UK's,biggest,6
Foreign,Office,6
Office,Some,5
Lawrence,Livermore,6
Livermore,National,9
National,Infrastructure,12
Laboratories,US,12
US,government,10
decided,split,6
ban,camera,5
camera,1900,6
phones,conceded,6
buildings,planners,7
fear,launch,6
sensitive,data,8
information,tracking,9
snapped,leaked,4
leaked,information,10
Many,flaws,4
schools,The,6
fitness,centres,5
centres,excellence,8
local,organisations,12
councils,banned,7
banned,fears,6
fears,secure,4
privacy,worries,7
misuse,Sabotage,7
Italy's,TIM,7
information,tracking,9
commissioner,voiced,9
voiced,concern,4
concern,advertisements,12
issued,updates,6
guidelines,recently,9
phones,conceded,6
But,dance,5
camera,1900,6
phone,upload,4
fears,secure,4
dampened,manufacturers',12
manufacturers',adaptors,9
profits,sell,7
According,market,8
recent,elections,6
figures,difficult,7
Sony,Walkman,7
Ericsson's,profits,8
profits,sell,7
tripled,thirdquarter,9
thirdquarter,new,11
new,technology,9
camera,1900,6
phones,conceded,6
Over,time,4
